¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
­(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.734337
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.04512
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.349117
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.7149
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.073424
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.528467
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.924235
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.300248
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.825195
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.39163
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.04203
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.71383
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.70254
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.49647
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.92711
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.102886
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.274982
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.4458
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.629186
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.841319
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.03255
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.240695
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.500146
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.743434
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.059173
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.358261
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.740963
(398.75, 14.70, 310.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.090549
