¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
½(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.016516
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 7.999875
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 7.984851
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 7.971465
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 7.959656
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 7.949424
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 7.940782
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 7.93371
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 7.932553
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 7.9676
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.067473
(328.71, 7.28, 378.99) (327.04, 1.22, 346.59) (7.62, 2.69, 4.12) Cabin 16.57117
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.522045
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.792856
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.088583
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.412753
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.769584
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.164151
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.602735
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.093012
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.273959
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.223372
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.199975
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.178318
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.15832
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.140061
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.123405
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.108449
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.095122
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.083411
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.073287
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.064794
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.057832
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.058234
(328.71, 7.28, 378.99) (331.05, 1.37, 355.25) (0.81, 2.16, 0.81) Human 8.126372
(328.71, 7.28, 378.99) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 16.58358
(328.71, 7.28, 378.99) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 16.58141
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.521454
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.792219
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.08789
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.411979
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.768711
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.163217
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.601692
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.09181
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.64313
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26548
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.90961
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64061
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.47924
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.77506
¦(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.0509
(328.71, 7.28, 378.99) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39738
(328.71, 7.28, 378.99) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 16.70344
(328.71, 7.28, 378.99) (327.49, 1.25, 347.61) (1.45, 2.50, 0.40) Cabin 16.67838
