¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
à(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.105591
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.587781
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.132856
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.753851
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.46766
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.29651
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.21697
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.01435
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.71169
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.33355
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.30495
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.27797
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.714984
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 4.893878
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.080533
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.281707
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.500457
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 5.739652
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.002107
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.290999
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Intersection 6.610462
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.643868
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.069572
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.547256
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.086885
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.701335
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.40703
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.22582
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.15802
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.95816
(373.68, 8.35, 339.08) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.70378
