¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Ó(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.676939
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.060727
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.496321
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.517206
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.393044
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.346003
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.31812
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.29198
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.267547
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.244794
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.223698
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.20423
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.186332
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.170024
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.155255
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.142022
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.130321
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.120117
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.111403
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.114868
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.149196
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.228795
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.717294
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.005357
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.320711
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.667308
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.050051
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.485729
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.413712
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.327937
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.289204
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.263419
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.239294
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.216802
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.195913
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.176602
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.15885
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.142636
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.127955
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.114767
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.103073
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.092841
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.084091
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.076793
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.080009
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.110592
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.178405
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.337223
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.70998
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.997316
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.311859
Ù(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.657629
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.039296
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.595928
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.37917
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.302106
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.265997
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.241615
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.218857
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.197696
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.178126
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.160106
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.143605
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.128625
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.115153
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.103165
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.092651
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.083597
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.076006
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.069851
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.073159
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.103136
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.169054
(337.04, 7.72, 345.72) (340.34, 1.35, 322.54) (0.81, 2.16, 0.81) Human 7.316621
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.702555
(337.04, 7.72, 345.72) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.989232
