¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ü(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.130708
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.310983
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.499347
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.681121
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.876483
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.087005
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.314459
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.525107
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.751239
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.995041
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.091831
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.882636
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.84688
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.04834
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.58659
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.16234
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73225
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.57659
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.57434
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.64681
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.4489
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.19206
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51454
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.85777
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.197062
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.332226
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.482492
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 4.94122
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.107118
(327.94, 7.21, 325.68) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.285595
