¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ì(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.60877
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.94954
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.52536
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.27142
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.17125
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.30048
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.48805
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.02054
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.27477
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.18611
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.026059
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.246648
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.485314
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.741597
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.032888
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.351985
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.662104
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.006732
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.395719
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.808659
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.26569
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.75501
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.26977
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.83378
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.48958
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.25716
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.18402
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.33493
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 15.52601
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 17.04731
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.30989
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.23696
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.007624
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.226744
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.462916
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.7175
(327.42, 7.23, 328.87) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.006555
