¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ñ(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.0572
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.489784
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.973348
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.517296
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14928
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.89004
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.75282
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.89802
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.25396
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99965
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23672
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.59385
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.23002
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.189318
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.434667
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.701622
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.993126
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.312616
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.664288
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.053111
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.485259
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.968264
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.511525
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14184
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88141
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.73982
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.8822
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.2488
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.9932
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.23454
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 19.77731
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.21001
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.186978
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.432116
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.698862
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.9901
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.309304
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.660623
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.049084
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.480754
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.963181
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.505799
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.13432
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.87275
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.72968
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.86598
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.24317
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99054
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.24905
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 20.51587
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.18903
‚(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.184656
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.429602
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.696098
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.987103
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.305998
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.656998
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.045026
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.476243
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.958179
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.500111
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12678
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86402
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.71952
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.84937
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23694
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.00091
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.26258
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.16795
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.16516
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.182353
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.427092
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.693393
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.984103
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.302721
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.653351
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.041024
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.471782
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.953168
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.494486
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11916
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.85525
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.70928
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.83465
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.23012
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.99257
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.27516
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.15287
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 23.13757
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.180062
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.424587
(333.27, 7.48, 361.67) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.690689
