¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
ë(426.67, 14.40, 322.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.012938
(426.67, 14.40, 322.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.414476
(426.67, 14.40, 322.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.876261
(426.67, 14.40, 322.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.404594
(426.67, 14.40, 322.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.997105
(426.67, 14.40, 322.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.63418
(426.67, 14.40, 322.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.36033
(426.67, 14.40, 322.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.1977
(426.67, 14.40, 322.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.18466
(426.67, 14.40, 322.45) (445.52, 7.73, 299.89) (1.92, 1.43, 1.91) Tools 12.66993
(426.67, 14.40, 322.45) (445.52, 7.73, 299.89) (1.92, 1.43, 1.91) Tools 12.64212
(426.67, 14.40, 322.45) (445.52, 7.73, 299.89) (1.92, 1.43, 1.91) Tools 12.61688
(426.67, 14.40, 322.45) (445.52, 7.73, 299.89) (1.92, 1.43, 1.91) Tools 12.59419
(426.67, 14.40, 322.45) (445.52, 7.73, 299.89) (1.92, 1.43, 1.91) Tools 12.57404
(426.67, 14.40, 322.45) (445.52, 7.73, 299.89) (1.92, 1.43, 1.91) Tools 12.55639
(426.67, 14.40, 322.45) (445.52, 7.73, 299.89) (1.92, 1.43, 1.91) Tools 12.54122
(426.67, 14.40, 322.45) (445.52, 7.73, 299.89) (1.92, 1.43, 1.91) Tools 12.52854
(426.67, 14.40, 322.45) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 22.03758
(426.67, 14.40, 322.45) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 22.0034
(426.67, 14.40, 322.45) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 21.9736
(426.67, 14.40, 322.45) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 21.94816
(426.67, 14.40, 322.45) (452.21, 8.08, 289.80) (2.47, 2.69, 7.63) Cabin 21.92704
