¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
õ(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.52477
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.54009
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.55906
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.58169
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.62136
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.70391
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.8116
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.92426
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.6153
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67973
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.99249
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.65774
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.75497
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.98965
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 19.1001
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.716
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.68623
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.69761
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.71712
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.7441
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.84411
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 18.94891
(431.14, 12.19, 342.38) (441.37, 8.86, 305.33) (7.63, 3.00, 7.50) Truck 19.11332
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.61134
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67844
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.99372
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.65454
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.75679
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.53552
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.60525
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.67445
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.99138
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.64701
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.75265
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.53396
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.59705
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.66777
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.98548
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.63515
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.74252
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.52453
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.58675
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.65839
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.97603
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.61897
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.72644
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.50721
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.57435
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.64633
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.96165
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.5985
¡(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.70441
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.48207
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.55988
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.63162
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.94344
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.57379
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.67653
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.44917
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.54335
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.61427
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.92196
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.54489
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.64283
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.40859
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.52477
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.5943
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.89723
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.51182
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.60338
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.36042
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.99539
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.50418
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.57174
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.86931
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 16.47466
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.55826
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 21.30479
(431.14, 12.19, 342.38) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 24.91677
