¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
Å(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.0338
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.03082
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.0298
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.03076
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.03371
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.0386
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.272705
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.405799
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.546898
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.6967
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.85599
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.049162
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.293794
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.593402
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.924379
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.22692
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.603794
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.034
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.464586
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.905489
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.396783
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.04245
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.15357
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.05987
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.03254
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.02261
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.01464
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.00867
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.00463
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.00259
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.00253
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.00444
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.00828
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.01408
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.271039
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.40404
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.545037
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.694727
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.853897
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.043323
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.281869
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.580266
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.909841
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.224346
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.593447
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.022418
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.467139
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.907064
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.398542
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.02456
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.18156
à(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.08005
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.05158
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.04252
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.0355
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.03045
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.02737
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.02629
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.02713
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.02997
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.03481
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.04163
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.269702
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.402627
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.543542
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.693144
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.852217
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.03784
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.270121
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.567331
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.89553
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.222235
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.583394
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.011164
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.471649
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.909263
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.400992
(327.06, 7.07, 327.96) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.86252
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.35178
(327.06, 7.07, 327.96) (345.27, 2.06, 309.64) (0.81, 2.16, 0.81) Human 10.16974
