¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
™ (422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.244889
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.215291
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.187173
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.160503
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.135255
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.111399
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.088908
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.067763
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.047938
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.029414
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.012172
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.996194
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.981464
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.967966
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.955688
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 5.944616
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.38515
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 7.126756
(422.97, 14.95, 246.48) (404.34, 8.29, 256.58) (0.81, 2.16, 0.81) Human 9.778284
(422.97, 14.95, 246.48) (404.34, 8.29, 256.58) (0.81, 2.16, 0.81) Human 9.77083
(422.97, 14.95, 246.48) (404.34, 8.29, 256.58) (0.81, 2.16, 0.81) Human 9.765518
(422.97, 14.95, 246.48) (404.34, 8.29, 256.58) (0.81, 2.16, 0.81) Human 9.762408
(422.97, 14.95, 246.48) (404.34, 8.29, 256.58) (0.81, 2.16, 0.81) Human 9.761478
(422.97, 14.95, 246.48) (404.34, 8.29, 256.58) (0.81, 2.16, 0.81) Human 9.762774
(422.97, 14.95, 246.48) (404.34, 8.29, 256.58) (0.81, 2.16, 0.81) Human 9.774755
(422.97, 14.95, 246.48) (404.34, 8.29, 256.58) (0.81, 2.16, 0.81) Human 9.891768
(422.97, 14.95, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 19.33348
(422.97, 14.95, 246.48) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.036195
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.196363
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.166996
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.139096
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.112634
(422.97, 14.95, 246.48) (405.05, 7.67, 253.29) (1.64, 1.43, 1.67) Tools 6.087581
