¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
£(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.46159
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.45476
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.45251
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.021882
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.249016
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.495214
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.763023
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.055259
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.375411
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.727571
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.116751
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.548911
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.031569
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.573927
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.18775
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88792
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.69385
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.63135
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.73514
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.05353
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.65552
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.64309
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.17403
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.50562
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.48227
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.45711
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.43656
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.42062
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.40926
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.40246
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.40024
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.008826
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.234879
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.479864
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.746292
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.037006
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.35539
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.70551
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.09226
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.521685
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.001081
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.539594
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.14874
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.84326
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.64228
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.571
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.66367
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96759
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.55017
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.51105
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 21.00363
­(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 24.27743
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.43449
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.4094
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.38892
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.37302
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.3617
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.35494
(348.89, 7.03, 360.60) (332.96, 1.73, 397.45) (13.17, 2.90, 0.14) Fence 23.35273
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 5.995881
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.22084
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.464662
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.729717
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.01888
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.335509
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.683604
(348.89, 7.03, 360.60) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.068048
