¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
†(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.874748
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.429165
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.05957
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.88471
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.8393
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.10843
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73969
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.75342
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.57562
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.282046
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.615475
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.982553
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.407136
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.926666
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.488047
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.12687
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.97544
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.95018
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.2604
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.96914
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.91693
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.95762
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.308527
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.644622
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.014721
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.44564
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.978764
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.54716
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.19447
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.06371
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.06191
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.41321
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.20256
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.11132
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 19.68562
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.335067
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.673749
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.046893
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.483928
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.027674
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.606471
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.26338
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.15225
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.17449
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.56742
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 15.43994
(338.66, 6.93, 310.18) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 17.48004
