¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¦(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.676075
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.916325
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.181423
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.472506
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.792124
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.147952
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.541102
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.973098
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.459496
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.011096
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.64471
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.3744
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.2233
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.21032
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.36582
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.76605
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 12.0609
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.68303
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.59278
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.57645
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.57389
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.57985
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.572012
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.721191
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.881418
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.055299
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.2434
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.447141
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.666327
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.905667
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.169751
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.459606
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.777838
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.132085
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.523285
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.953311
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.437164
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.986032
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.616347
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.34128
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.18535
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.16646
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.31323
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.70184
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 12.09197
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.7122
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.60873
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.59135
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.58886
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.59483
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.566072
‘(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.714827
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.874581
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.047952
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.235462
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.438539
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.656834
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.89528
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.158375
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.447042
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.763921
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.116631
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.505954
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.934087
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.415457
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.9617
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.588828
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.30913
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.14857
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.12405
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.26241
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.63983
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 12.12579
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.74394
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.62699
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.60855
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.60614
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.61212
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.56029
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.70863
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.867926
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.040794
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.227728
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.430135
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.647597
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.885162
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.147296
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.43481
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.750387
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.101591
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.48911
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.915421
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.394374
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.938094
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.562145
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.27795
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.11297
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.08306
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.21332
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 14.57999
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 12.16241
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.7783
 (419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.64759
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.62807
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.62574
(419.76, 8.53, 364.13) (390.64, 1.96, 358.92) (8.13, 2.81, 6.71) Truck 11.63174
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.554663
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.702602
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 4.861454
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.033824
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.220201
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.42186
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.638613
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 5.875311
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.136511
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.42291
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 6.737254
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.086958
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.472747
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 7.897308
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.373909
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 8.915208
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 9.535723
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 10.24773
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 11.07851
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 12.04348
(419.76, 8.53, 364.13) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 13.16595
