¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¢(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.59131
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.56553
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.54438
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.52785
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.51593
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.45701
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.945091
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.221725
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.523685
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.85359
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.215392
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.613941
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.054981
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.51515
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.01161
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.54467
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.1225
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.92932
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.1428
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.1351
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.40344
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.58529
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.21239
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.81944
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.78405
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.75338
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.72742
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.70612
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.68948
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.67747
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.61814
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.94096
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.234512
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.553457
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.886171
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.251258
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.653543
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.098904
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.567703
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.0693
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.59299
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.17643
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.9597
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.17975
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.53303
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.4831
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.66986
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 23.32022
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.98894
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.95328
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.9224
¥(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.89624
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.87479
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.85803
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.84594
(346.43, 6.89, 370.69) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 23.78618
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.934543
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.210477
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.543608
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.910613
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.287386
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.693443
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.143224
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.620976
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.11349
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.64205
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.2312
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.98951
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.38988
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.63532
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.71619
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.69748
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.68206
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.66992
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.66104
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.65542
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.65304
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.65392
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.65803
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.66541
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.67604
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.68994
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.70712
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.7276
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.92827
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.186535
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.517278
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.881474
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.284542
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.732821
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.187993
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.675033
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.15829
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.69185
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 11.28688
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 12.01876
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 13.89779
(346.43, 6.89, 370.69) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Building 16.43094
