¡# Labeling File
Lidar Coordonates (x y z)(float)   BoundingBox Center (x y z)(float)   BoundingBox size (x y z)(float)   Object class (string)   Distance(float)
¨(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700633
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.979344
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.270154
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.522676
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.794938
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.089239
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.408341
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.755501
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.207005
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.592095
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.08593
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.67529
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.77519
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.39811
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.12664
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.15563
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.46607
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.4414
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.42076
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.40414
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.39152
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.38288
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.37822
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.37754
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.29117
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.44411
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.700179
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.978884
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.260748
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.51251
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 7.784007
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.077426
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.395561
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 8.781222
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.24487
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 9.625334
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.04464
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 10.62896
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 14.73634
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 16.38763
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 18.108
(330.50, 7.32, 373.22) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 20.13253
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.94958
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.92445
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.90346
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.88657
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.87378
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.86506
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.86042
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.85985
(330.50, 7.32, 373.22) (317.61, 1.22, 347.87) (7.66, 2.69, 3.36) Cabin 20.77156
Û(330.68, 7.36, 372.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.407391
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.650011
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.623304
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.597936
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.573877
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.551101
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.30638
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.286917
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.26862
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.251472
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.23545
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.220541
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.428573
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.876524
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.087346
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.415904
(330.68, 7.36, 372.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Road 18.8444
(330.68, 7.36, 372.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 22.46003
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.009267
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.006894
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.005499
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.005081
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.005637
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.007171
(330.68, 7.36, 372.45) (0.00, 0.00, 0.00) (0.00, 0.00, 0.00) Terrain 6.409063
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.535632
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.509184
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.484052
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.460207
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.439463
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.308884
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.289412
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.271107
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.253949
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.237921
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.223004
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.415372
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 5.86102
(330.68, 7.36, 372.45) (340.92, 2.68, 358.09) (3.14, 4.70, 9.95) Truck 6.090218
